date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,9.9,--,0.1(1.02 %),"30,118",0.3,0,0.0,9.9,10.1,9.8,ams
11/09/2024,9.9,--,0.1(1.02 %),"37,310",0.36,0,0.0,9.8,10.0,9.7,ams
10/09/2024,10.0,--,0(0.00 %),"52,200",0.51,0,0.0,10.0,10.0,9.7,ams
09/09/2024,10.0,--,0.1(1.01 %),"2,842",0.03,0,0.0,10.0,10.2,9.9,ams
06/09/2024,10.0,--,0(0.00 %),"29,612",0.29,0,0.0,10.0,10.2,9.9,ams
05/09/2024,10.0,--,0.1(1.01 %),"70,429",0.7,0,0.0,9.9,10.1,9.9,ams
04/09/2024,10.1,--,0.2(2.02 %),"25,302",0.25,0,0.0,9.9,10.1,9.9,ams
30/08/2024,10.1,--,0(0.00 %),"137,820",1.37,0,0.0,10.1,10.1,9.8,ams
29/08/2024,10.1,--,-0.1(-0.98 %),"74,938",0.76,0,0.0,10.1,10.2,9.9,ams
28/08/2024,10.2,--,-0.1(-0.97 %),"21,614",0.22,0,0.0,10.3,10.3,10.1,ams
27/08/2024,10.4,--,0.2(1.96 %),"40,921",0.42,0,0.0,10.2,10.4,10.1,ams
26/08/2024,10.6,--,0.2(1.92 %),"48,444",0.51,0,0.0,10.5,10.6,10.4,ams
23/08/2024,10.6,--,0.1(0.95 %),"47,222",0.49,0,0.0,10.5,10.6,10.3,ams
22/08/2024,10.7,--,0.1(0.94 %),"158,926",1.67,0,0.0,10.5,10.7,10.4,ams
21/08/2024,10.8,--,0.1(0.93 %),"199,653",2.11,0,0.0,10.7,10.9,10.5,ams
20/08/2024,10.7,--,0(0.00 %),"126,049",1.34,0,0.0,10.9,10.9,10.6,ams
19/08/2024,10.8,--,0.2(1.89 %),"83,187",0.89,0,0.0,10.8,11.0,10.6,ams
16/08/2024,10.8,--,0.4(3.85 %),"193,857",2.06,0,0.0,10.5,10.8,10.4,ams
15/08/2024,10.5,--,0.1(0.96 %),"18,707",0.19,0,0.0,10.5,10.8,10.3,ams
14/08/2024,10.6,--,-0.1(-0.93 %),"80,600",0.84,0,0.0,10.6,10.7,10.3,ams
14/08/2024,10.6,--,-0.1(-0.93 %),"80,600",0.84,0,0.0,10.6,10.7,10.3,ams
13/08/2024,10.7,--,0.1(0.94 %),"155,408",1.66,0,0.0,10.5,10.8,10.5,ams
12/08/2024,10.7,--,0.3(2.88 %),"55,012",0.58,0,0.0,10.5,10.7,10.4,ams
09/08/2024,10.7,--,0.3(2.88 %),"230,251",2.4,0,0.0,10.3,10.7,10.3,ams
08/08/2024,10.6,--,0.2(1.92 %),"124,147",1.29,0,0.0,10.4,10.6,10.2,ams
07/08/2024,10.6,--,0.4(3.92 %),"148,211",1.54,0,0.0,10.5,10.8,10.2,ams
06/08/2024,10.5,--,0(0.00 %),"238,809",2.44,0,0.0,10.5,10.8,10.1,ams
05/08/2024,10.5,--,-0.7(-6.25 %),"437,431",4.6,0,0.0,11.5,11.8,10.2,ams
02/08/2024,11.5,--,0.2(1.77 %),"579,161",6.47,0,0.0,11.1,11.8,10.7,ams
01/08/2024,11.3,--,-0.2(-1.74 %),"696,042",7.89,0,0.0,11.5,12.1,10.9,ams
31/07/2024,11.6,--,0.4(3.57 %),"798,462",9.16,0,0.0,11.2,12.0,11.2,ams
30/07/2024,11.3,--,0.3(2.73 %),"739,529",8.31,0,0.0,11.0,11.5,11.0,ams
29/07/2024,11.2,--,0.4(3.70 %),"644,571",7.08,0,0.0,10.8,11.3,10.7,ams
26/07/2024,11.0,--,-0.2(-1.79 %),"387,942",4.18,0,0.0,10.9,11.5,10.6,ams
25/07/2024,11.0,--,-0.2(-1.79 %),"168,567",1.88,0,0.0,11.2,11.6,10.7,ams
24/07/2024,11.2,--,0(0.00 %),"351,731",3.93,0,0.0,11.3,11.5,10.9,ams
23/07/2024,11.3,--,0(0.00 %),"304,605",3.42,0,0.0,11.4,11.8,11.0,ams
22/07/2024,11.5,--,0.2(1.77 %),"429,283",4.85,"46,500",0.6,11.3,11.8,11.0,ams
19/07/2024,11.5,--,0.7(6.48 %),"670,454",7.58,0,0.0,11.0,11.6,11.0,ams
18/07/2024,11.2,--,0.4(3.70 %),"369,977",4.0,0,0.0,10.9,11.2,10.5,ams
17/07/2024,10.9,--,-0.2(-1.80 %),"197,289",2.14,0,0.0,11.1,11.4,10.5,ams
16/07/2024,11.2,--,0(0.00 %),"142,254",1.58,0,0.0,11.3,11.5,11.0,ams
15/07/2024,11.3,--,-0.2(-1.74 %),"368,679",4.15,0,0.0,11.6,11.8,11.1,ams
12/07/2024,11.6,--,-0.1(-0.85 %),"223,502",2.56,0,0.0,11.7,12.0,11.3,ams
11/07/2024,11.8,--,0.1(0.85 %),"304,703",3.55,0,0.0,11.7,12.1,11.5,ams
10/07/2024,11.7,--,-0.3(-2.50 %),"613,158",7.17,0,0.0,12.0,12.5,11.4,ams
09/07/2024,12.2,--,0.5(4.27 %),"475,767",5.72,0,0.0,11.8,12.4,11.8,ams
08/07/2024,12.0,--,0.5(4.35 %),"849,618",9.97,0,0.0,11.7,12.0,11.5,ams
05/07/2024,11.8,--,0.4(3.51 %),"784,888",9.03,0,0.0,11.6,11.8,11.3,ams
04/07/2024,11.6,--,0.2(1.75 %),"309,259",3.53,0,0.0,11.5,12.0,11.3,ams
03/07/2024,11.5,--,0.2(1.77 %),"317,043",3.6,0,0.0,11.4,11.7,11.1,ams
02/07/2024,11.6,--,0.4(3.57 %),"409,803",4.64,0,0.0,11.2,11.8,11.0,ams
01/07/2024,11.4,--,-0.2(-1.72 %),"273,516",3.06,"50,000",0.5,11.7,11.9,10.9,ams
28/06/2024,11.7,--,-0.2(-1.68 %),"520,665",6.04,0,0.0,11.9,12.6,11.0,ams
27/06/2024,12.1,--,-0.2(-1.63 %),"533,062",6.34,"100,000",1.05,12.2,12.6,11.6,ams
26/06/2024,12.5,--,0(0.00 %),"439,458",5.41,"300,000",3.21,12.5,12.9,12.1,ams
25/06/2024,12.5,--,-0.2(-1.57 %),"316,155",3.94,"100,000",1.08,13.0,13.0,12.1,ams
24/06/2024,13.0,--,0(0.00 %),"800,863",10.18,0,0.0,13.4,14.0,11.9,ams
21/06/2024,13.4,--,1.3(10.74 %),"1,263,519",16.48,0,0.0,12.5,13.8,12.5,ams
20/06/2024,12.5,--,1(8.70 %),"1,094,247",13.29,0,0.0,12.0,12.5,11.9,ams
19/06/2024,12.0,--,0.9(8.11 %),"873,538",10.04,0,0.0,11.2,12.0,11.2,ams
18/06/2024,11.3,--,0.5(4.63 %),"466,223",5.18,0,0.0,10.9,11.3,10.8,ams
17/06/2024,10.9,--,-0.1(-0.91 %),"137,545",1.49,0,0.0,11.2,11.6,10.6,ams
14/06/2024,11.2,--,0.5(4.67 %),"362,057",3.98,0,0.0,11.0,11.5,10.8,ams
13/06/2024,11.0,--,0.7(6.80 %),"538,944",5.77,0,0.0,10.5,11.3,10.3,ams
12/06/2024,10.4,--,0.1(0.97 %),"93,826",0.97,0,0.0,10.5,10.7,10.3,ams
11/06/2024,10.4,--,0.1(0.97 %),"118,000",1.22,0,0.0,10.4,10.6,10.2,ams
10/06/2024,10.4,--,0.1(0.97 %),"71,535",0.74,0,0.0,10.4,10.5,10.2,ams
07/06/2024,10.3,--,0.2(1.98 %),"56,901",0.59,0,0.0,10.3,10.5,10.1,ams
06/06/2024,10.3,--,0(0.00 %),"46,300",0.47,0,0.0,10.4,10.6,10.1,ams
05/06/2024,10.4,--,0.1(0.97 %),"45,500",0.47,0,0.0,10.4,10.6,10.2,ams
04/06/2024,10.4,--,-0.1(-0.95 %),"77,801",0.8,0,0.0,10.5,10.6,10.2,ams
03/06/2024,10.5,--,0.2(1.94 %),"95,392",1.0,0,0.0,10.4,10.6,10.3,ams
31/05/2024,10.4,--,0.3(2.97 %),"231,001",2.37,0,0.0,10.1,10.5,10.0,ams
30/05/2024,10.1,--,0(0.00 %),"74,500",0.75,0,0.0,10.1,10.2,9.9,ams
29/05/2024,10.1,--,0(0.00 %),"61,500",0.62,0,0.0,10.1,10.2,10.0,ams
28/05/2024,10.1,--,0.1(1.00 %),"35,986",0.36,0,0.0,10.1,10.1,10.0,ams
27/05/2024,10.1,--,0.1(1.00 %),"51,635",0.51,0,0.0,10.0,10.1,9.8,ams
24/05/2024,10.1,--,0.1(1.00 %),"42,303",0.42,0,0.0,10.0,10.1,9.9,ams
23/05/2024,10.1,--,0.1(1.00 %),"30,200",0.3,0,0.0,10.0,10.1,9.9,ams
22/05/2024,10.1,--,0.1(1.00 %),"10,315",0.1,0,0.0,10.1,10.1,10.0,ams
21/05/2024,10.1,--,0.1(1.00 %),"37,803",0.38,0,0.0,10.0,10.2,10.0,ams
20/05/2024,10.1,--,0(0.00 %),"66,700",0.67,0,0.0,10.2,10.4,9.9,ams
17/05/2024,10.2,--,0.1(0.99 %),"122,801",1.24,0,0.0,10.2,10.5,9.9,ams
16/05/2024,10.2,--,0.2(2.00 %),"115,515",1.16,0,0.0,10.1,10.3,9.9,ams
15/05/2024,10.1,--,0(0.00 %),"122,629",1.22,0,0.0,10.2,10.4,9.4,ams
14/05/2024,10.2,--,0.1(0.99 %),"104,519",1.05,0,0.0,10.1,10.3,10.0,ams
13/05/2024,10.1,--,0.1(1.00 %),"12,818",0.13,0,0.0,10.0,10.3,10.0,ams
10/05/2024,10.3,--,0.1(0.98 %),"97,200",0.98,0,0.0,10.3,10.5,9.9,ams
09/05/2024,10.3,--,0(0.00 %),"73,310",0.75,0,0.0,10.4,10.8,10.1,ams
08/05/2024,10.4,--,0.1(0.97 %),"128,701",1.32,0,0.0,10.4,10.6,10.2,ams
07/05/2024,10.4,--,0.2(1.96 %),"101,900",1.05,0,0.0,10.4,10.6,10.1,ams
06/05/2024,10.4,--,0(0.00 %),"53,202",0.54,0,0.0,10.5,10.6,10.1,ams
03/05/2024,10.4,--,0(0.00 %),"19,803",0.21,0,0.0,10.4,10.5,10.2,ams
02/05/2024,10.4,--,0.1(0.97 %),"75,000",0.78,0,0.0,10.3,10.5,10.2,ams
26/04/2024,10.3,--,0(0.00 %),"20,700",0.21,0,0.0,10.3,10.6,10.1,ams
25/04/2024,10.3,--,0.1(0.98 %),"75,000",0.77,0,0.0,10.4,10.6,10.1,ams
24/04/2024,10.2,--,0(0.00 %),"112,208",1.15,0,0.0,10.2,10.4,10.1,ams
23/04/2024,10.3,--,0(0.00 %),"59,502",0.61,0,0.0,10.4,10.8,10.0,ams
22/04/2024,10.4,--,0.3(2.97 %),"42,200",0.44,0,0.0,10.2,10.6,10.0,ams
19/04/2024,10.2,--,-0.1(-0.97 %),"98,930",1.0,0,0.0,10.3,10.7,10.0,ams
17/04/2024,10.4,--,-0.2(-1.89 %),"118,900",1.23,0,0.0,10.5,10.9,10.1,ams
16/04/2024,10.5,--,-0.1(-0.94 %),"54,507",0.58,0,0.0,10.4,11.0,10.2,ams
15/04/2024,10.8,--,0.1(0.93 %),"113,207",1.2,0,0.0,10.6,11.2,10.2,ams
12/04/2024,10.9,--,0.2(1.87 %),"259,624",2.79,0,0.0,10.9,11.3,10.5,ams
11/04/2024,11.0,--,0.1(0.92 %),"116,916",1.26,0,0.0,11.0,11.4,10.5,ams
10/04/2024,11.1,--,0(0.00 %),"176,500",1.92,0,0.0,11.2,11.6,10.7,ams
09/04/2024,11.2,--,0.1(0.90 %),"236,600",2.62,0,0.0,11.2,11.7,10.8,ams
08/04/2024,11.2,--,0.4(3.70 %),"212,500",2.37,0,0.0,10.8,12.0,10.8,ams
05/04/2024,11.2,--,0.7(6.67 %),"794,547",8.56,0,0.0,10.5,11.4,10.2,ams
04/04/2024,10.6,--,0(0.00 %),"123,101",1.29,0,0.0,10.6,10.8,10.2,ams
03/04/2024,10.6,--,0(0.00 %),"51,305",0.54,0,0.0,10.6,11.0,10.4,ams
02/04/2024,10.6,--,-0.1(-0.93 %),"108,508",1.15,0,0.0,10.6,11.0,10.3,ams
01/04/2024,10.6,--,-0.1(-0.93 %),"115,501",1.23,0,0.0,10.7,10.9,10.4,ams
29/03/2024,10.7,--,0.2(1.90 %),"336,025",3.59,0,0.0,10.6,10.8,10.6,ams
28/03/2024,10.6,--,0.1(0.95 %),"68,101",0.72,0,0.0,10.6,11.2,10.4,ams
27/03/2024,10.6,--,0.1(0.95 %),"158,314",1.66,0,0.0,10.6,10.9,10.2,ams
26/03/2024,10.6,--,0.1(0.95 %),"37,400",0.39,0,0.0,10.5,10.6,10.4,ams
