ticker,date,buy_volume,buy_value_bil_vnd,sell_volume,sell_value_bil_vnd,net_trading_volume,net_trading_value_bil_vnd
brc,07/08/2024,0,0,400,0.0,-400,-0.0
brc,06/08/2024,0,0,"1,000",0.01,"-1,000",-0.01
brc,31/07/2024,0,0,"19,700",0.28,"-19,700",-0.28
brc,30/07/2024,0,0,"11,200",0.16,"-11,200",-0.16
brc,29/07/2024,0,0,"21,700",0.31,"-21,700",-0.31
brc,18/07/2024,0,0,400,0.01,-400,-0.01
brc,03/07/2024,0,0,"10,000",0.14,"-10,000",-0.14
brc,28/06/2024,0,0,300,0.0,-300,-0.0
brc,12/06/2024,0,0,"1,200",0.02,"-1,200",-0.02
brc,11/06/2024,0,0,600,0.01,-600,-0.01
