date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
09/08/2024,3.11,--,0.1(3.32 %),"205,100",0.62,0,0.0,3.05,3.12,2.81,agm
08/08/2024,3.01,--,0.19(6.74 %),"211,400",0.64,0,0.0,3.01,3.01,3.01,agm
07/08/2024,2.82,--,0.18(6.82 %),"96,600",0.27,0,0.0,2.64,2.82,2.64,agm
06/08/2024,2.64,--,-0.04(-1.49 %),"165,400",0.43,0,0.0,2.55,2.68,2.5,agm
05/08/2024,2.68,--,-0.2(-6.94 %),"261,000",0.7,0,0.0,2.85,2.85,2.68,agm
02/08/2024,2.88,--,-0.2(-6.49 %),"185,200",0.55,0,0.0,3.07,3.07,2.88,agm
01/08/2024,3.08,--,-0.23(-6.95 %),"317,300",1.0,0,0.0,3.31,3.31,3.08,agm
31/07/2024,3.31,--,-0.17(-4.89 %),"104,400",0.35,0,0.0,3.47,3.47,3.28,agm
30/07/2024,3.48,--,-0.06(-1.69 %),"56,100",0.2,0,0.0,3.54,3.6,3.47,agm
29/07/2024,3.54,--,0.01(0.28 %),"53,600",0.19,0,0.0,3.53,3.58,3.46,agm
26/07/2024,3.53,--,0(0.00 %),"59,200",0.21,0,0.0,3.52,3.58,3.5,agm
25/07/2024,3.53,--,0.02(0.57 %),"53,100",0.19,0,0.0,3.51,3.53,3.5,agm
24/07/2024,3.51,--,0.05(1.45 %),"82,000",0.29,0,0.0,3.47,3.55,3.47,agm
23/07/2024,3.46,--,-0.05(-1.42 %),"103,300",0.36,0,0.0,3.58,3.58,3.44,agm
22/07/2024,3.51,--,-0.19(-5.14 %),"188,000",0.66,0,0.0,3.6,3.7,3.45,agm
19/07/2024,3.7,--,-0.03(-0.80 %),"202,700",0.75,0,0.0,3.73,3.74,3.66,agm
18/07/2024,3.73,--,-0.23(-5.81 %),"281,600",1.06,0,0.0,3.96,3.96,3.72,agm
17/07/2024,3.96,--,-0.1(-2.46 %),"165,700",0.66,0,0.0,4.1,4.1,3.96,agm
16/07/2024,4.06,--,-0.09(-2.17 %),"238,400",0.98,0,0.0,4.15,4.16,4.05,agm
15/07/2024,4.15,--,0.01(0.24 %),"68,100",0.28,0,0.0,4.14,4.18,4.14,agm
12/07/2024,4.14,--,-0.01(-0.24 %),"91,600",0.38,0,0.0,4.15,4.18,4.11,agm
11/07/2024,4.15,--,-0.07(-1.66 %),"100,200",0.42,0,0.0,4.23,4.23,4.15,agm
10/07/2024,4.22,--,-0.01(-0.24 %),"115,800",0.49,0,0.0,4.24,4.24,4.2,agm
09/07/2024,4.23,--,-0.02(-0.47 %),"134,600",0.57,0,0.0,4.25,4.25,4.2,agm
08/07/2024,4.25,--,-0.02(-0.47 %),"58,100",0.25,0,0.0,4.25,4.29,4.25,agm
05/07/2024,4.27,--,-0.05(-1.16 %),"94,500",0.4,0,0.0,4.32,4.32,4.27,agm
04/07/2024,4.32,--,0(0.00 %),"137,200",0.59,0,0.0,4.3,4.32,4.27,agm
03/07/2024,4.32,--,0.01(0.23 %),"45,900",0.2,0,0.0,4.34,4.34,4.3,agm
02/07/2024,4.31,--,0.01(0.23 %),"66,800",0.29,0,0.0,4.3,4.33,4.28,agm
01/07/2024,4.3,--,-0.02(-0.46 %),"47,400",0.2,0,0.0,4.3,4.33,4.26,agm
28/06/2024,4.32,--,-0.03(-0.69 %),"144,200",0.62,0,0.0,4.29,4.36,4.29,agm
27/06/2024,4.35,--,0(0.00 %),"54,000",0.23,0,0.0,4.38,4.38,4.32,agm
26/06/2024,4.35,--,0(0.00 %),"83,000",0.36,0,0.0,4.37,4.37,4.34,agm
25/06/2024,4.35,--,-0.02(-0.46 %),"91,100",0.4,0,0.0,4.37,4.47,4.31,agm
24/06/2024,4.37,--,0.08(1.86 %),"210,900",0.92,0,0.0,4.29,4.4,4.29,agm
21/06/2024,4.29,--,-0.06(-1.38 %),"257,700",1.11,0,0.0,4.37,4.37,4.25,agm
20/06/2024,4.35,--,-0.19(-4.19 %),"221,300",0.98,0,0.0,4.5,4.57,4.35,agm
19/06/2024,4.54,--,-0.03(-0.66 %),"126,400",0.57,0,0.0,4.58,4.58,4.48,agm
18/06/2024,4.57,--,-0.09(-1.93 %),"188,500",0.86,0,0.0,4.66,4.66,4.54,agm
17/06/2024,4.66,--,-0.06(-1.27 %),"133,600",0.62,0,0.0,4.7,4.72,4.55,agm
14/06/2024,4.72,--,-0.02(-0.42 %),"172,200",0.82,0,0.0,4.74,4.84,4.72,agm
13/06/2024,4.74,--,0(0.00 %),"143,200",0.68,0,0.0,4.75,4.8,4.74,agm
12/06/2024,4.74,--,0(0.00 %),"65,800",0.31,0,0.0,4.77,4.81,4.73,agm
11/06/2024,4.74,--,-0.1(-2.07 %),"131,200",0.63,0,0.0,4.81,4.86,4.73,agm
10/06/2024,4.84,--,0.03(0.62 %),"118,600",0.57,0,0.0,4.81,4.86,4.81,agm
07/06/2024,4.81,--,-0.05(-1.03 %),"151,200",0.73,0,0.0,4.9,4.9,4.81,agm
06/06/2024,4.86,--,0.05(1.04 %),"181,500",0.88,0,0.0,4.9,4.9,4.82,agm
05/06/2024,4.81,--,0(0.00 %),"284,700",1.37,0,0.0,4.8,4.89,4.78,agm
04/06/2024,4.81,--,-0.03(-0.62 %),"108,700",0.53,0,0.0,4.92,4.92,4.81,agm
03/06/2024,4.84,--,-0.02(-0.41 %),"187,200",0.91,0,0.0,4.86,4.92,4.8,agm
31/05/2024,4.86,--,-0.09(-1.82 %),"186,800",0.92,0,0.0,5.0,5.0,4.86,agm
30/05/2024,4.95,--,0.05(1.02 %),"253,900",1.25,0,0.0,4.91,4.99,4.9,agm
29/05/2024,4.9,--,0.07(1.45 %),"304,600",1.49,0,0.0,4.9,4.95,4.84,agm
28/05/2024,4.83,--,0.08(1.68 %),"148,400",0.71,0,0.0,4.75,4.83,4.75,agm
27/05/2024,4.75,--,-0.04(-0.84 %),"119,200",0.57,0,0.0,4.73,4.81,4.73,agm
24/05/2024,4.79,--,0(0.00 %),"241,000",1.16,0,0.0,4.79,4.9,4.79,agm
23/05/2024,4.79,--,0(0.00 %),"141,700",0.68,0,0.0,4.86,4.86,4.77,agm
22/05/2024,4.79,--,-0.03(-0.62 %),"263,000",1.27,0,0.0,4.84,4.89,4.79,agm
21/05/2024,4.82,--,-0.08(-1.63 %),"340,800",1.64,0,0.0,4.87,4.9,4.79,agm
20/05/2024,4.9,--,-0.05(-1.01 %),"357,500",1.76,0,0.0,4.95,4.99,4.84,agm
17/05/2024,4.95,--,-0.01(-0.20 %),"166,500",0.82,0,0.0,4.96,5.01,4.81,agm
16/05/2024,4.96,--,-0.05(-1.00 %),"246,000",1.2,0,0.0,5.01,5.04,4.72,agm
15/05/2024,5.01,--,0.04(0.80 %),"122,900",0.61,0,0.0,4.97,5.07,4.97,agm
14/05/2024,4.97,--,-0.09(-1.78 %),"289,900",1.44,0,0.0,5.07,5.08,4.81,agm
13/05/2024,5.06,--,-0.11(-2.13 %),"248,000",1.26,0,0.0,5.17,5.17,5.05,agm
10/05/2024,5.17,--,-0.01(-0.19 %),"289,900",1.48,0,0.0,5.18,5.37,5.0,agm
09/05/2024,5.18,--,0.21(4.23 %),"605,000",3.14,0,0.0,5.3,5.31,5.0,agm
08/05/2024,4.97,--,0.32(6.88 %),"386,700",1.91,0,0.0,4.65,4.97,4.65,agm
07/05/2024,4.65,--,0.3(6.90 %),"434,000",1.96,0,0.0,4.35,4.65,4.35,agm
06/05/2024,4.35,--,0.09(2.11 %),"117,100",0.51,0,0.0,4.39,4.42,4.3,agm
03/05/2024,4.26,--,0.01(0.24 %),"129,700",0.56,0,0.0,4.38,4.38,4.25,agm
02/05/2024,4.25,--,-0.11(-2.52 %),"258,900",1.11,0,0.0,4.3,4.36,4.23,agm
26/04/2024,4.36,--,-0.06(-1.36 %),"283,200",1.24,0,0.0,4.4,4.42,4.31,agm
25/04/2024,4.42,--,-0.04(-0.90 %),"70,500",0.31,0,0.0,4.49,4.49,4.41,agm
24/04/2024,4.46,--,0.03(0.68 %),"90,700",0.4,0,0.0,4.45,4.46,4.4,agm
23/04/2024,4.43,--,0.07(1.61 %),"327,100",1.45,0,0.0,4.45,4.47,4.4,agm
22/04/2024,4.36,--,0.03(0.69 %),"145,600",0.64,0,0.0,4.44,4.45,4.33,agm
19/04/2024,4.33,--,-0.32(-6.88 %),"370,900",1.63,0,0.0,4.65,4.65,4.33,agm
17/04/2024,4.65,--,-0.07(-1.48 %),"117,200",0.55,0,0.0,4.72,4.9,4.5,agm
16/04/2024,4.72,--,-0.33(-6.53 %),"849,900",4.03,0,0.0,4.8,5.02,4.7,agm
15/04/2024,5.05,--,-0.35(-6.48 %),"344,600",1.81,0,0.0,5.4,5.55,5.05,agm
12/04/2024,5.4,--,-0.02(-0.37 %),"344,700",1.87,0,0.0,5.47,5.56,5.35,agm
11/04/2024,5.42,--,-0.07(-1.28 %),"146,900",0.79,0,0.0,5.35,5.48,5.3,agm
10/04/2024,5.49,--,0.19(3.58 %),"327,300",1.8,0,0.0,5.23,5.6,5.23,agm
09/04/2024,5.3,--,-0.01(-0.19 %),"301,000",1.56,0,0.0,5.31,5.49,4.99,agm
08/04/2024,5.31,--,-0.39(-6.84 %),"545,500",2.95,0,0.0,5.69,5.69,5.31,agm
05/04/2024,5.7,--,-0.3(-5.00 %),"1,051,800",5.93,0,0.0,6.0,6.0,5.58,agm
04/04/2024,6.0,--,-0.22(-3.54 %),"755,000",4.67,0,0.0,6.23,6.6,5.98,agm
03/04/2024,6.22,--,0.4(6.87 %),"1,093,700",6.73,0,0.0,5.81,6.22,5.81,agm
02/04/2024,5.82,--,-0.43(-6.88 %),"1,145,200",6.67,0,0.0,5.82,5.85,5.82,agm
01/04/2024,6.25,--,-0.46(-6.86 %),"811,600",5.09,0,0.0,6.43,6.46,6.25,agm
29/03/2024,6.71,--,-0.03(-0.45 %),"281,400",1.88,0,0.0,6.61,6.72,6.6,agm
28/03/2024,6.74,--,-0.25(-3.58 %),"487,500",3.3,0,0.0,6.75,6.9,6.7,agm
27/03/2024,6.99,--,-0.31(-4.25 %),"920,600",6.51,"241,400",1.88,7.28,7.5,6.9,agm
26/03/2024,7.3,--,-0.41(-5.32 %),"911,200",6.8,"21,200",0.15,7.8,7.9,7.29,agm
25/03/2024,7.71,--,-0.34(-4.22 %),"1,128,000",9.05,0,0.0,8.3,8.49,7.63,agm
22/03/2024,8.05,--,0.52(6.91 %),"2,716,900",21.72,0,0.0,8.05,8.05,7.62,agm
21/03/2024,7.53,--,1.25(19.90 %),"1,347,900",10.15,0,0.0,7.53,7.53,7.53,agm
02/02/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
01/02/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
31/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
30/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
29/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
26/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
25/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
24/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
23/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
22/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
19/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
18/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
17/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
16/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
15/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
12/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
11/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
10/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
09/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
08/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
05/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
04/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
03/01/2024,6.28,--,0(0.00 %),0,0.0,0,0.0,6.28,6.28,6.28,agm
