date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,24.2 ( -1.22 %),191,"157,700",825.65,136,"252,200","1,854","-94,500"
11/09/2024,24.6 ( -3.53 %),235,"266,300","1,133.19",147,"410,400","2,792","-144,100"
10/09/2024,25.3 ( -0.39 %),46,"23,300",506.52,86,"110,600","1,286","-87,300"
09/09/2024,25.5 ( -1.16 %),62,"43,100",695.16,95,"119,400","1,257","-76,300"
06/09/2024,26 ( 0.78 %),55,"66,900","1,216.36",90,"94,500","1,050","-27,600"
05/09/2024,25.8 ( -0.77 %),57,"72,200","1,266.67",98,"135,500","1,383","-63,300"
04/09/2024,26 ( 0.78 %),35,"40,800","1,165.71",95,"101,300","1,066","-60,500"
30/08/2024,26 ( 0.78 %),55,"46,800",850.91,91,"137,600","1,512","-90,800"
29/08/2024,26 ( 0.39 %),71,"59,000",830.99,78,"91,600","1,174","-32,600"
28/08/2024,26 ( 0 %),59,"51,000",864.41,99,"104,700","1,058","-53,700"
27/08/2024,25.9 ( 0.39 %),52,"82,500","1,586.54",114,"139,500","1,224","-57,000"
26/08/2024,25.9 ( 0.39 %),46,"62,600","1,360.87",106,"120,800","1,140","-58,200"
23/08/2024,25.9 ( -0.38 %),52,"62,700","1,205.77",107,"166,300","1,554","-103,600"
22/08/2024,25.9 ( 0 %),52,"141,800","2,726.92",121,"185,800","1,536","-44,000"
21/08/2024,26 ( 0.39 %),51,"97,000","1,901.96",108,"169,700","1,571","-72,700"
20/08/2024,25.9 ( 1.97 %),70,"135,500","1,935.71",121,"126,200","1,043","9,300"
19/08/2024,25.6 ( 0.79 %),70,"185,300","2,647.14",99,"182,700","1,845","2,600"
16/08/2024,25.5 ( 0.39 %),82,"71,200",868.29,95,"153,900","1,620","-82,700"
15/08/2024,25.4 ( 0 %),59,"50,300",852.54,116,"127,300","1,097","-77,000"
14/08/2024,25.4 ( 0.4 %),78,"217,100","2,783.33",122,"192,000","1,574","25,100"
13/08/2024,25.4 ( 0.79 %),50,"95,200","1,904",96,"129,200","1,346","-34,000"
12/08/2024,25.3 ( 3.27 %),127,"212,400","1,672.44",161,"204,500","1,270","7,900"
09/08/2024,24.7 ( 2.49 %),125,"55,300",442.4,84,"71,000",845,"-15,700"
08/08/2024,24.5 ( 1.24 %),139,"88,600",637.41,81,"67,300",831,"21,300"
07/08/2024,24.4 ( 0.41 %),139,"104,300",750.36,79,"119,500","1,513","-15,200"
06/08/2024,24.9 ( 1.22 %),208,"99,500",478.37,117,"92,300",789,"7,200"
05/08/2024,24.1 ( -4.74 %),212,"106,700",503.3,163,"163,800","1,005","-57,100"
02/08/2024,25.6 ( 0.79 %),234,"189,800",811.11,148,"207,000","1,399","-17,200"
01/08/2024,25.4 ( -1.93 %),184,"129,800",705.43,182,"220,600","1,212","-90,800"
31/07/2024,26 ( 0.78 %),69,"41,100",595.65,118,"138,000","1,169","-96,900"
30/07/2024,25.8 ( 0.39 %),77,"38,600",501.3,120,"158,000","1,317","-119,400"
29/07/2024,25.8 ( 0.39 %),72,"60,500",840.28,92,"130,800","1,422","-70,300"
26/07/2024,25.9 ( 1.17 %),91,"69,600",764.84,140,"200,800","1,434","-131,200"
25/07/2024,25.7 ( 1.18 %),91,"52,800",580.22,122,"140,400","1,151","-87,600"
24/07/2024,26 ( 1.17 %),180,"109,200",606.67,162,"141,800",875,"-32,600"
23/07/2024,25.8 ( 0 %),168,"113,900",677.98,153,"201,100","1,314","-87,200"
22/07/2024,27.1 ( 0 %),246,"158,600",644.72,175,"205,300","1,173","-46,700"
19/07/2024,27.3 ( 0 %),163,"133,800",820.86,149,"212,300","1,425","-78,500"
18/07/2024,27.5 ( 0.36 %),140,"103,300",737.86,143,"156,000","1,091","-52,700"
17/07/2024,27.3 ( 0 %),155,"158,200","1,020.65",202,"259,600","1,285","-101,400"
16/07/2024,27.3 ( -0.36 %),211,"220,700","1,045.97",174,"305,800","1,757","-85,100"
15/07/2024,27.5 ( 0 %),137,"96,900",707.3,155,"215,500","1,390","-118,600"
12/07/2024,27.5 ( 0 %),193,"206,200","1,068.39",166,"286,200","1,724","-80,000"
11/07/2024,27.3 ( -1.09 %),162,"102,600",633.33,158,"229,700","1,454","-127,100"
10/07/2024,27.7 ( 0 %),152,"150,600",990.79,168,"273,300","1,627","-122,700"
09/07/2024,27.7 ( 1.84 %),234,"189,500",809.83,247,"346,200","1,402","-156,700"
08/07/2024,27.3 ( 0.74 %),122,"103,400",847.54,143,"187,000","1,308","-83,600"
05/07/2024,27.3 ( 1.11 %),129,"90,100",698.45,157,"263,600","1,679","-173,500"
04/07/2024,27.2 ( 0.37 %),214,"280,600","1,311.21",155,"376,200","2,427","-95,600"
03/07/2024,27.2 ( 0 %),155,"245,300","1,582.58",126,"284,100","2,255","-38,800"
02/07/2024,27.3 ( 0.74 %),115,"101,500",882.61,160,"313,100","1,957","-211,600"
01/07/2024,27 ( -1.82 %),171,"165,000",964.91,179,"357,600","1,998","-192,600"
