date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
06/09/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
05/09/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
04/09/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
30/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
29/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
28/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
27/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
26/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
23/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
22/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
21/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
20/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
19/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
16/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
15/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
14/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
13/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
12/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
09/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
08/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
07/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
06/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
05/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
02/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
01/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
31/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
30/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
29/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
24/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
23/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
22/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
19/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
18/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
17/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
16/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
15/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
12/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
11/07/2024,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
10/07/2024,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
08/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
04/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
03/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
02/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
01/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
28/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
27/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
26/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
25/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
24/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
21/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
20/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
19/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
18/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
17/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
14/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
13/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
12/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
11/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
10/06/2024,0(0.00 %),0,0,0,0,0,0,"78,945,594",0%
07/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
06/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
05/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
04/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
03/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
31/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
30/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
29/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
28/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
27/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
24/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
23/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
22/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
21/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
20/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
17/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
16/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
15/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
14/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
13/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
10/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
09/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
08/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
07/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
06/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
03/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
02/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
26/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
25/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
24/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
23/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
22/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
19/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
17/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
16/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
15/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
12/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
11/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
10/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
09/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
08/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
05/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
04/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
03/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
02/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
01/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
29/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
28/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
27/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
26/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
25/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
22/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
21/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
20/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
19/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
18/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
15/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
14/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
13/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
12/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
11/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
08/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
07/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
06/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
05/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
04/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
01/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
29/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
28/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
27/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
26/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
23/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
22/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
21/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
20/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
19/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
16/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
15/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
07/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
06/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
05/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
02/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
01/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
31/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
30/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
29/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
26/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
25/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
24/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
23/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
22/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
19/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
18/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
17/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
16/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
15/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
12/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
11/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
10/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
09/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
08/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
05/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
04/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
03/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
02/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%
29/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
28/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
27/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
26/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
25/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
22/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
21/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
20/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
19/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
18/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
15/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
14/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
13/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
12/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
11/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
08/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
07/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
06/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
05/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
04/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
01/12/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
30/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
29/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
28/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
27/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
24/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
23/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
22/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
21/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
20/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
17/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
16/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
15/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
14/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
13/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
10/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
09/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
08/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
07/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
06/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
03/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
02/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
01/11/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
31/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
30/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
27/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
26/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
25/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
24/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
23/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
20/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
19/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
18/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
17/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
16/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
13/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
12/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
11/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
10/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
09/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
06/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
05/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
04/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
03/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
02/10/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
29/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
28/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
27/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
26/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
25/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
22/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
21/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
20/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
19/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
18/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
15/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
14/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
13/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
12/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
11/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
08/09/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
07/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
06/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
05/09/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
31/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
30/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
29/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
28/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
25/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
24/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
23/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
22/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
21/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
18/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
17/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
16/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
15/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
14/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
11/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
10/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
09/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
08/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
07/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
04/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
03/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
02/08/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
01/08/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
31/07/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
28/07/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
27/07/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
26/07/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%
25/07/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
24/07/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
21/07/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
20/07/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
19/07/2023,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
18/07/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
17/07/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
14/07/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
13/07/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
12/07/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
11/07/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
10/07/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
07/07/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
06/07/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
05/07/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
04/07/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
03/07/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
30/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
29/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
28/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
27/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
26/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
23/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
22/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
21/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
20/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
19/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
16/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
15/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
14/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
13/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
12/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
09/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
08/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
07/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
06/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
05/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
02/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
01/06/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
31/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
30/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
29/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
26/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
25/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
24/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
23/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
22/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
19/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
18/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
17/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
16/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
15/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
12/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
11/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
10/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
09/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
08/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
05/05/2023,1.11(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
04/05/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
28/04/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
27/04/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
26/04/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
25/04/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
24/04/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
21/04/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
20/04/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
19/04/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
18/04/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
17/04/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
14/04/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
13/04/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
12/04/2023,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%
